PERMNO,date,TICKER,BIDLO,ASKHI,PRC,BID,ASK,OPENPRC
14593,20200319,AAPL,242.61000,252.84000,244.78000,244.77000,244.78000,247.38499
14593,20200320,AAPL,228.00000,251.83000,229.24001,228.73000,228.74001,247.17999
14593,20200323,AAPL,212.61000,228.49969,224.37000,223.42999,223.87000,228.08000
14593,20200324,AAPL,234.30000,247.69000,246.88000,246.87000,246.88000,236.36000
14593,20200325,AAPL,244.30000,258.25000,245.52000,245.46001,245.55000,250.75000
14593,20200326,AAPL,246.36000,258.67999,258.44000,258.45999,258.48001,246.52000
14593,20200327,AAPL,247.05000,255.87000,247.74001,247.62000,247.74001,252.75000
14593,20200330,AAPL,249.39999,255.52000,254.81000,254.69000,254.78999,250.74001
14593,20200331,AAPL,252.00000,262.48999,254.28999,254.28999,254.30000,255.60001
14593,20200401,AAPL,239.13000,248.72000,240.91000,240.75999,240.82001,246.50000
14593,20200402,AAPL,236.89999,245.14999,244.92999,244.89000,244.94000,240.34000
14593,20200403,AAPL,238.97411,245.70000,241.41000,241.42000,241.50000,242.80000
14593,20200406,AAPL,249.38000,263.10999,262.47000,262.37000,262.47000,250.89999
14593,20200407,AAPL,259.00000,271.70001,259.42999,259.32999,259.42999,270.79999
14593,20200408,AAPL,261.23001,267.37000,266.07001,266.03000,266.07001,262.73999
14593,20200409,AAPL,264.70001,270.07001,267.98999,267.98999,268.00000,268.70001
14593,20200413,AAPL,265.82999,273.70001,273.25000,273.22000,273.25000,268.31000
14593,20200414,AAPL,278.04999,288.25000,287.04999,287.04999,287.10001,280.00000
14593,20200415,AAPL,280.63000,286.32999,284.42999,284.45001,284.54999,282.39999
14593,20200416,AAPL,282.35019,288.19751,286.69000,286.69000,286.72000,287.38000
14593,20200417,AAPL,276.85999,286.94501,282.79999,282.79999,282.88000,284.69000
14593,20200420,AAPL,276.85001,281.67999,276.92999,276.85001,276.85999,277.95001
14593,20200421,AAPL,265.42999,277.25000,268.37000,268.35001,268.38000,276.28000
14593,20200422,AAPL,272.20001,277.89999,276.10001,276.04999,276.10001,273.60999
14593,20200423,AAPL,274.87000,281.75000,275.03000,274.87000,274.98001,275.87000
14593,20200424,AAPL,277.00000,283.01001,282.97000,282.95001,282.97000,277.20001
14593,20200427,AAPL,279.95001,284.54001,283.17001,283.16000,283.17001,281.79999
14593,20200428,AAPL,278.20001,285.82999,278.57999,278.54999,278.57001,285.07999
14593,20200429,AAPL,283.89001,289.67001,287.73001,287.56000,287.82999,284.73001
14593,20200430,AAPL,288.35001,294.53000,293.79999,293.82999,293.98999,289.95999
14593,20200501,AAPL,285.85001,299.00000,289.07001,289.07001,289.07999,286.25000
14593,20200504,AAPL,286.31720,293.69000,293.16000,293.16000,293.17001,289.17001
14593,20200505,AAPL,294.45999,301.00000,297.56000,297.69000,297.82999,295.06000
14593,20200506,AAPL,298.87000,303.23999,300.63000,300.50000,300.59000,300.45999
14593,20200507,AAPL,301.97000,305.17001,303.73999,303.73999,303.75000,303.22000
14593,20200508,AAPL,304.29001,310.35001,310.13000,310.07999,310.14999,305.64001
14593,20200511,AAPL,307.23999,317.04999,315.01001,315.00000,315.01001,308.10001
14593,20200512,AAPL,310.91000,319.68799,311.41000,311.31000,311.42001,317.82999
14593,20200513,AAPL,303.20999,315.95001,307.64999,307.64999,307.67999,312.14999
14593,20200514,AAPL,301.53000,309.79001,309.54001,309.51001,309.70999,304.51001
14593,20200515,AAPL,300.20999,307.89999,307.70999,307.70001,307.76001,300.35001
14593,20200518,AAPL,310.32410,316.50000,314.95999,314.89001,314.95999,313.17001
14593,20200519,AAPL,313.01001,318.51999,313.14001,313.01001,313.13000,315.03000
14593,20200520,AAPL,316.20001,319.51999,319.23001,319.16000,319.23999,316.67999
14593,20200521,AAPL,315.87000,320.89001,316.85001,316.94000,317.22000,318.66000
14593,20200522,AAPL,315.35001,319.23001,318.89001,318.81000,318.89001,315.76999
14593,20200526,AAPL,316.50000,324.23999,316.73001,316.72000,316.84000,323.50000
14593,20200527,AAPL,313.09000,318.70999,318.10999,318.07001,318.12000,316.14001
14593,20200528,AAPL,315.63000,323.44000,318.25000,318.20001,318.23001,316.76999
14593,20200529,AAPL,316.47000,321.14999,317.94000,317.89999,317.92001,319.25000
14593,20200601,AAPL,317.20999,322.35001,321.85001,321.73999,321.81000,317.75000
14593,20200602,AAPL,318.92999,323.44000,323.34000,323.35999,323.42001,320.74500
14593,20200603,AAPL,322.29999,326.20001,325.12000,325.09000,325.10999,324.66000
14593,20200604,AAPL,320.78000,325.62000,322.32001,322.32001,322.37000,324.39001
14593,20200605,AAPL,323.23001,331.75000,331.50000,331.41000,331.48999,323.35001
14593,20200608,AAPL,327.32001,333.60001,333.45999,333.47000,333.54999,330.25000
14593,20200609,AAPL,332.01001,345.60999,343.98999,343.81000,343.82001,332.14001
14593,20200610,AAPL,346.09000,354.76999,352.84000,352.66000,352.84000,347.89999
